gender,race_ethnicity,parental_level_of_education,test_preparation_course,math_score,reading_score,writing_score
female,group D,high school,completed,92,14,16
female,group C,associate's degree,completed,72,14,27
female,group B,master's degree,completed,24,94,37
female,group D,master's degree,completed,93,47,81
male,group C,associate's degree,completed,39,18,54
female,group C,master's degree,completed,45,65,62
female,group B,master's degree,completed,91,33,86
male,group C,associate's degree,none,15,36,96
female,group C,some college,none,14,63,52
female,group D,high school,completed,37,81,33
female,group B,high school,completed,63,64,17
male,group B,bachelor's degree,none,100,33,77
male,group B,some high school,completed,72,57,22
female,group D,master's degree,none,72,15,66
female,group C,high school,none,67,18,11
male,group A,some high school,none,17,23,62
female,group D,high school,none,86,23,31
male,group A,high school,completed,78,72,85
male,group C,associate's degree,none,92,95,26
male,group C,some college,none,66,51,42
female,group D,bachelor's degree,completed,25,85,38
female,group B,high school,completed,62,52,32
female,group C,bachelor's degree,completed,56,40,96
female,group C,high school,completed,85,49,78
male,group A,some college,none,99,16,51
male,group D,high school,completed,51,30,54
male,group A,bachelor's degree,none,17,100,27
female,group A,some college,none,58,50,54
female,group D,bachelor's degree,none,35,89,25
male,group B,some college,completed,64,60,31
male,group D,associate's degree,completed,14,15,93
male,group B,high school,none,49,76,67
female,group B,some college,none,36,51,72
female,group A,bachelor's degree,none,60,56,97
male,group D,bachelor's degree,none,44,90,81
male,group B,some college,completed,16,31,23
female,group C,associate's degree,completed,80,30,93
female,group B,high school,none,38,58,52
female,group C,bachelor's degree,completed,23,38,99
female,group D,some college,completed,76,56,54
male,group C,associate's degree,completed,82,23,12
male,group A,bachelor's degree,completed,24,78,72
male,group A,some high school,none,10,20,27
male,group A,bachelor's degree,completed,78,16,48
male,group C,bachelor's degree,none,27,35,73
female,group D,master's degree,completed,85,86,47
male,group A,bachelor's degree,completed,86,94,73
female,group B,master's degree,completed,96,64,28
male,group A,high school,completed,100,99,47
female,group D,high school,none,87,32,31
male,group A,high school,completed,33,69,16
male,group B,master's degree,none,53,28,84
female,group D,associate's degree,completed,27,32,45
female,group C,high school,none,25,56,76
male,group D,high school,none,87,43,84
male,group A,bachelor's degree,completed,84,64,19
female,group C,some high school,none,86,42,18
female,group B,some high school,none,32,49,73
male,group B,some high school,completed,86,41,93
male,group C,some college,none,23,26,95
male,group D,some college,none,68,69,35
female,group B,master's degree,completed,46,94,55
female,group C,some college,none,68,72,98
female,group C,associate's degree,completed,41,75,81
male,group D,associate's degree,none,29,92,27
male,group C,associate's degree,completed,63,12,32
male,group D,master's degree,completed,45,38,57
female,group A,high school,none,40,45,79
female,group D,master's degree,completed,59,16,49
male,group A,high school,none,44,82,70
female,group A,associate's degree,none,12,27,58
female,group D,associate's degree,none,38,38,53
female,group D,high school,completed,83,38,40
male,group C,some high school,none,44,92,34
female,group D,some college,completed,22,99,51
male,group B,some high school,completed,43,32,58
female,group B,some high school,completed,35,38,20
female,group B,associate's degree,completed,72,11,88
female,group A,some college,completed,45,75,64
male,group A,bachelor's degree,completed,17,57,34
male,group B,high school,none,68,45,52
female,group A,associate's degree,completed,22,85,81
female,group B,some college,none,62,53,93
male,group A,some college,completed,71,30,46
female,group B,high school,completed,64,38,16
male,group B,high school,completed,50,21,42
female,group B,some college,none,23,54,24
male,group C,bachelor's degree,none,99,95,55
female,group A,associate's degree,completed,74,69,38
female,group B,some high school,completed,76,47,31
female,group A,associate's degree,completed,69,94,62
male,group C,bachelor's degree,none,24,14,23
female,group A,some college,completed,65,23,84
female,group B,some college,completed,56,63,32
male,group C,high school,none,89,35,77
female,group C,master's degree,completed,78,45,64
female,group A,some college,completed,14,26,45
male,group A,some high school,completed,87,54,93
male,group D,some high school,completed,59,86,89
male,group A,master's degree,completed,75,25,20
male,group A,some high school,completed,96,87,14
male,group D,master's degree,none,40,15,15
female,group C,some college,completed,50,16,54
male,group D,some college,completed,17,47,87
male,group C,some high school,none,66,50,79
female,group B,associate's degree,none,42,77,91
female,group B,high school,completed,14,58,59
male,group D,associate's degree,none,38,11,71
female,group D,some high school,completed,95,55,65
male,group C,some high school,completed,41,62,84
male,group D,associate's degree,none,27,17,55
female,group C,associate's degree,completed,16,20,23
male,group A,high school,none,81,56,69
male,group D,high school,completed,15,100,90
female,group C,bachelor's degree,completed,64,30,83
male,group B,master's degree,completed,47,39,42
male,group A,high school,completed,36,26,98
female,group A,master's degree,completed,36,79,92
female,group A,master's degree,completed,90,91,24
male,group D,bachelor's degree,none,83,29,34
male,group D,some high school,none,26,25,73
male,group D,some high school,none,12,73,99
female,group D,high school,completed,21,29,71
male,group B,high school,completed,22,77,41
female,group B,high school,none,81,80,94
female,group B,some high school,none,85,68,29
male,group A,high school,completed,69,38,10
female,group D,master's degree,completed,72,68,70
female,group D,high school,none,100,68,89
female,group D,bachelor's degree,completed,55,99,70
male,group B,associate's degree,completed,98,18,80
female,group B,associate's degree,completed,45,17,39
female,group B,some college,completed,42,11,21
male,group C,master's degree,completed,41,62,71
female,group B,bachelor's degree,completed,30,34,11
male,group C,some college,none,17,43,62
male,group B,master's degree,none,32,60,75
male,group A,some high school,none,13,55,92
female,group B,some college,none,83,97,83
female,group B,associate's degree,completed,19,61,95
male,group C,some college,none,40,92,95
male,group A,some high school,none,42,98,97
female,group B,some college,none,76,35,13
male,group C,bachelor's degree,none,71,73,98
male,group B,bachelor's degree,completed,50,10,74
male,group A,some college,none,35,16,97
female,group B,high school,none,34,83,94
female,group D,associate's degree,none,54,76,88
female,group B,some high school,none,57,69,79
male,group D,master's degree,completed,20,71,19
male,group D,master's degree,none,90,24,59
male,group A,some high school,completed,68,87,25
female,group D,some college,completed,83,47,47
female,group D,some college,completed,72,93,66
male,group A,master's degree,none,14,68,53
male,group A,bachelor's degree,completed,26,81,42
female,group A,bachelor's degree,completed,53,73,45
female,group D,associate's degree,completed,95,86,29
male,group D,bachelor's degree,completed,84,74,73
male,group D,some high school,none,61,55,22
male,group A,some college,completed,29,59,97
female,group A,some high school,completed,81,70,56
female,group C,bachelor's degree,completed,90,82,93
female,group D,some high school,completed,40,99,10
male,group B,bachelor's degree,completed,52,36,57
male,group D,some high school,none,19,42,92
female,group B,high school,completed,67,45,14
female,group C,high school,completed,60,83,48
male,group A,master's degree,completed,22,12,40
male,group C,associate's degree,completed,41,14,83
female,group A,master's degree,none,95,38,20
male,group B,bachelor's degree,completed,17,83,22
female,group C,master's degree,none,32,84,26
female,group D,bachelor's degree,completed,33,67,76
male,group B,some high school,completed,100,57,89
female,group B,some college,none,96,30,62
male,group D,high school,completed,75,20,38
female,group C,high school,none,99,28,22
female,group A,bachelor's degree,completed,44,55,66
male,group A,high school,completed,72,63,23
female,group C,some high school,completed,34,97,52
female,group C,some high school,completed,13,83,79
female,group B,some college,completed,32,37,22
male,group B,some college,none,90,51,58
female,group A,master's degree,none,96,21,64
female,group A,some college,none,71,10,76
female,group B,high school,none,62,83,31
male,group B,master's degree,none,12,46,60
female,group C,high school,completed,32,13,19
male,group C,bachelor's degree,completed,64,26,17
male,group D,bachelor's degree,completed,16,19,47
female,group C,associate's degree,completed,10,80,83
male,group B,high school,none,78,33,54
male,group A,associate's degree,completed,38,13,95
female,group C,some college,completed,95,49,39
female,group B,some high school,none,30,76,37
female,group D,high school,none,57,11,62
female,group C,some college,none,83,89,73
female,group B,high school,none,84,16,61
female,group A,high school,none,44,47,48
female,group B,some high school,none,71,72,17
female,group C,high school,completed,57,82,93
male,group B,some college,none,90,85,82
female,group C,some high school,completed,45,32,46
female,group D,high school,completed,85,65,87
female,group D,associate's degree,none,41,12,48
male,group C,high school,completed,38,47,64
female,group C,high school,completed,46,21,19
male,group A,associate's degree,completed,50,31,43
male,group C,master's degree,none,42,75,66
male,group C,high school,completed,27,20,20
male,group A,bachelor's degree,none,87,39,17
female,group D,some college,none,32,35,67
female,group D,master's degree,none,28,79,32
female,group B,some high school,none,77,51,78
female,group D,some college,completed,78,49,11
female,group A,some high school,none,62,78,22
male,group B,master's degree,completed,75,55,41
male,group B,some high school,none,74,70,84
female,group A,bachelor's degree,none,96,58,80
male,group B,some college,none,79,50,51
male,group A,associate's degree,none,86,39,76
female,group A,bachelor's degree,none,81,93,11
female,group D,master's degree,completed,55,19,40
female,group A,some high school,completed,47,98,87
male,group A,bachelor's degree,none,58,64,72
female,group D,associate's degree,completed,23,72,53
male,group B,master's degree,none,15,58,74
male,group A,some high school,completed,76,47,48
female,group B,bachelor's degree,none,67,57,53
male,group D,high school,completed,63,83,30
female,group C,associate's degree,completed,28,94,38
female,group A,some college,completed,76,71,20
male,group B,bachelor's degree,completed,50,67,61
female,group D,associate's degree,completed,58,68,65
male,group A,high school,completed,12,66,10
female,group D,high school,completed,25,45,64
male,group C,master's degree,none,99,89,87
male,group A,some high school,none,55,57,32
female,group D,some college,completed,78,42,91
female,group D,associate's degree,none,100,13,59
female,group B,high school,none,65,32,78
female,group D,high school,completed,60,32,98
female,group A,master's degree,none,67,87,19
female,group C,some college,completed,27,11,58
male,group D,high school,completed,19,99,88
male,group C,master's degree,completed,19,66,16
male,group C,master's degree,none,62,72,58
male,group A,associate's degree,completed,52,27,14
male,group B,some high school,completed,37,20,69
female,group A,high school,completed,55,85,95
male,group A,bachelor's degree,completed,11,17,69
female,group D,bachelor's degree,completed,75,94,24
female,group B,associate's degree,none,25,37,72
female,group D,bachelor's degree,none,32,15,51
male,group A,associate's degree,completed,38,76,72
female,group A,associate's degree,completed,45,41,57
female,group A,some college,completed,90,53,60
female,group C,associate's degree,completed,46,81,69
male,group A,some college,completed,30,28,69
female,group A,master's degree,none,50,63,56
male,group B,bachelor's degree,completed,95,33,80
male,group A,bachelor's degree,completed,14,90,93
male,group B,bachelor's degree,completed,89,39,71
male,group A,some college,none,100,75,51
male,group A,some high school,none,85,36,37
female,group A,bachelor's degree,completed,30,28,38
male,group C,high school,completed,61,39,27
female,group A,high school,completed,13,69,19
male,group C,some college,none,32,31,27
male,group D,master's degree,completed,87,42,56
male,group D,bachelor's degree,none,72,54,81
female,group B,master's degree,none,96,48,99
male,group A,some high school,none,23,22,19
male,group B,some high school,none,58,46,88
female,group A,master's degree,completed,10,41,98
female,group A,bachelor's degree,completed,39,39,57
male,group C,bachelor's degree,completed,20,31,36
female,group C,bachelor's degree,completed,28,43,56
female,group A,some high school,completed,93,25,28
male,group D,master's degree,none,16,32,53
female,group C,master's degree,none,50,51,69
male,group A,master's degree,none,81,77,100
male,group D,bachelor's degree,completed,89,24,12
male,group A,some college,completed,12,19,80
male,group B,associate's degree,completed,67,10,88
female,group C,some college,none,16,23,20
male,group A,associate's degree,none,83,81,22
female,group D,master's degree,completed,69,44,31
female,group C,some high school,none,66,68,88
female,group D,some high school,none,16,58,78
female,group D,bachelor's degree,completed,96,92,15
male,group B,some college,none,67,31,44
male,group D,associate's degree,none,48,43,52
female,group C,some college,none,25,42,48
female,group B,associate's degree,none,85,28,81
male,group D,master's degree,none,57,96,79
female,group A,master's degree,completed,89,27,92
female,group B,bachelor's degree,none,38,10,38
female,group A,some high school,completed,39,13,68
male,group C,some college,none,52,61,46
male,group A,master's degree,completed,89,12,85
male,group D,associate's degree,none,92,63,55
male,group B,some college,completed,58,33,67
male,group A,some college,completed,96,38,19
female,group D,bachelor's degree,completed,100,30,35
male,group C,bachelor's degree,none,85,13,44
female,group C,some college,none,71,84,69
female,group A,some college,completed,59,77,80
male,group D,high school,completed,35,47,16
female,group B,associate's degree,none,84,28,16
male,group B,some college,none,95,80,42
female,group D,master's degree,completed,26,68,56
male,group B,associate's degree,completed,77,22,46
male,group A,master's degree,none,64,20,81
female,group D,some college,none,94,48,77
female,group C,bachelor's degree,none,69,82,73
male,group B,master's degree,completed,70,52,56
male,group C,bachelor's degree,none,56,71,20
female,group D,associate's degree,completed,26,67,90
female,group B,some college,completed,84,19,31
male,group C,high school,completed,92,26,37
female,group A,associate's degree,completed,53,81,13
female,group B,some college,none,19,34,98
female,group A,associate's degree,none,14,95,95
male,group C,bachelor's degree,none,96,79,44
female,group D,bachelor's degree,none,55,21,34
male,group B,high school,completed,12,80,87
female,group B,some college,completed,34,72,93
male,group B,high school,completed,23,59,82
female,group A,bachelor's degree,none,78,33,87
female,group C,bachelor's degree,completed,94,32,63
male,group C,bachelor's degree,completed,88,12,53
male,group D,high school,none,90,47,76
female,group D,high school,completed,43,61,23
male,group C,associate's degree,none,71,86,40
male,group A,some high school,completed,11,60,33
male,group D,bachelor's degree,completed,47,93,83
female,group B,some high school,none,73,38,21
female,group A,some college,completed,93,66,50
male,group C,some high school,none,25,67,31
female,group B,high school,completed,21,59,94
male,group C,some high school,completed,99,78,81
female,group A,high school,completed,50,100,39
female,group B,master's degree,completed,50,43,94
female,group C,bachelor's degree,none,44,88,96
female,group D,some college,none,46,62,28
male,group D,high school,none,71,17,15
male,group D,some college,completed,63,43,35
male,group C,bachelor's degree,none,45,64,79
male,group C,associate's degree,none,39,82,100
male,group A,master's degree,completed,15,51,94
female,group B,associate's degree,completed,32,57,31
female,group A,associate's degree,completed,40,22,77
female,group A,associate's degree,none,60,34,13
female,group C,some high school,none,90,57,82
female,group A,high school,none,80,69,60
female,group A,high school,none,71,88,46
male,group A,high school,completed,41,38,92
male,group B,some college,completed,56,85,12
female,group A,some high school,none,46,31,52
female,group B,some high school,none,35,79,80
male,group D,some high school,none,46,99,79
male,group C,some college,completed,39,65,58
male,group A,some college,completed,60,48,98
male,group A,high school,completed,79,42,78
female,group D,master's degree,none,72,29,16
female,group A,associate's degree,none,47,36,28
female,group B,some high school,completed,51,23,91
female,group B,some college,none,15,77,77
female,group A,high school,none,91,57,31
male,group A,bachelor's degree,completed,70,48,50
male,group C,master's degree,none,69,83,64
male,group A,some high school,none,33,32,47
female,group A,some college,completed,63,44,24
female,group B,high school,none,36,32,61
female,group D,some high school,none,24,100,56
female,group C,associate's degree,none,40,74,60
female,group C,some high school,none,22,15,61
male,group C,some college,none,32,68,72
male,group D,high school,none,98,28,61
male,group C,high school,completed,38,32,68
female,group B,high school,completed,36,92,48
male,group B,associate's degree,none,65,13,34
female,group B,high school,none,65,38,95
female,group C,high school,none,35,32,40
male,group A,high school,none,28,14,16
male,group B,some college,none,53,10,53
female,group A,bachelor's degree,completed,90,67,52
male,group C,some college,none,64,63,44
female,group C,some high school,completed,52,67,19
male,group D,master's degree,none,100,67,49
male,group C,high school,none,23,92,14
male,group B,high school,none,32,88,82
male,group D,high school,completed,45,22,45
female,group A,master's degree,none,50,77,49
male,group B,high school,completed,35,80,49
female,group C,master's degree,completed,47,54,40
male,group A,bachelor's degree,none,13,57,53
male,group D,some high school,completed,49,50,21
male,group C,high school,none,78,17,83
male,group B,bachelor's degree,completed,37,40,85
male,group B,bachelor's degree,completed,85,69,46
male,group B,some college,completed,48,82,72
female,group D,associate's degree,none,85,97,86
female,group A,some college,completed,56,79,10
male,group B,some college,completed,72,54,83
male,group B,high school,none,75,75,63
female,group C,high school,none,10,62,98
male,group A,some college,none,15,68,71
female,group B,high school,none,79,80,76
female,group D,some college,completed,79,70,71
female,group B,some high school,completed,99,75,63
female,group C,associate's degree,completed,21,67,40
female,group C,master's degree,none,68,54,13
male,group B,high school,none,81,27,42
male,group C,associate's degree,none,63,58,21
male,group D,high school,none,48,56,61
male,group D,associate's degree,none,68,27,37
male,group C,associate's degree,none,26,56,11
male,group A,some high school,completed,91,94,63
male,group C,associate's degree,none,80,24,17
male,group D,some college,none,67,86,46
female,group D,high school,none,54,88,63
male,group B,some high school,none,45,49,72
female,group C,some high school,completed,91,34,85
male,group A,master's degree,none,12,87,98
male,group D,some high school,completed,13,74,38
male,group B,associate's degree,none,92,41,31
female,group C,associate's degree,completed,22,55,60
male,group A,high school,completed,18,98,46
male,group C,bachelor's degree,none,65,62,66
male,group A,master's degree,completed,69,30,37
male,group D,some high school,completed,67,15,76
male,group B,associate's degree,none,86,75,95
male,group B,bachelor's degree,none,55,57,73
female,group D,master's degree,completed,89,51,58
female,group C,master's degree,none,45,80,87
male,group A,bachelor's degree,none,76,49,61
female,group C,bachelor's degree,none,59,48,13
female,group A,associate's degree,completed,58,86,69
female,group A,bachelor's degree,completed,22,30,55
male,group B,some high school,completed,74,78,25
male,group D,some high school,none,42,38,24
female,group D,bachelor's degree,none,77,38,92
male,group C,some high school,completed,26,75,64
female,group C,high school,none,93,27,80
male,group D,some high school,none,81,56,37
female,group D,high school,completed,99,79,89
female,group C,bachelor's degree,none,36,65,54
female,group C,bachelor's degree,none,15,63,93
male,group D,associate's degree,none,95,97,65
female,group A,some high school,none,67,81,97
female,group C,high school,none,60,94,93
female,group B,some high school,completed,32,11,74
female,group B,associate's degree,completed,42,15,17
female,group C,high school,completed,62,30,18
male,group D,some college,completed,20,23,15
female,group A,some college,none,96,67,79
male,group D,bachelor's degree,none,95,82,54
male,group C,associate's degree,none,13,20,65
male,group C,associate's degree,completed,70,98,23
female,group B,bachelor's degree,completed,100,22,80
male,group D,master's degree,completed,45,71,12
female,group A,some high school,completed,97,53,83
female,group B,master's degree,completed,41,54,58
female,group C,bachelor's degree,completed,31,66,25
female,group C,high school,none,44,88,29
female,group C,associate's degree,completed,64,84,74
female,group A,high school,none,20,54,89
female,group A,some college,none,62,17,76
female,group A,associate's degree,none,32,16,27
female,group C,some high school,completed,73,36,82
male,group A,associate's degree,none,54,43,97
male,group B,bachelor's degree,none,55,18,28
male,group A,bachelor's degree,completed,30,53,16
female,group B,master's degree,none,37,68,18
female,group D,some college,none,63,11,86
male,group C,master's degree,none,92,78,99
male,group D,some high school,completed,51,75,48
male,group D,some college,completed,70,96,80
female,group C,some college,none,44,57,44
male,group A,bachelor's degree,completed,77,95,61
male,group B,associate's degree,completed,10,31,23
male,group D,associate's degree,completed,26,60,24
male,group A,master's degree,completed,87,20,25
male,group B,bachelor's degree,completed,71,28,24
male,group C,some college,none,87,73,41
female,group A,some high school,completed,21,91,67
male,group A,bachelor's degree,completed,82,40,72
female,group B,some high school,none,74,39,35
male,group A,high school,completed,17,94,59
female,group C,associate's degree,none,32,59,88
female,group C,high school,none,30,52,37
male,group A,bachelor's degree,completed,23,75,41
female,group C,some high school,completed,65,66,79
male,group A,high school,none,57,15,17
male,group D,high school,completed,26,75,23
female,group D,master's degree,none,73,18,37
female,group B,master's degree,none,66,54,56
male,group B,master's degree,none,12,32,67
female,group B,high school,none,28,91,33
male,group D,some high school,completed,42,33,27
female,group A,some college,none,67,56,42
male,group A,some college,completed,95,91,92
male,group D,bachelor's degree,none,48,23,85
male,group D,some college,none,11,82,98
female,group D,high school,completed,21,10,29
female,group B,master's degree,none,20,83,66
male,group A,high school,none,80,19,44
male,group D,associate's degree,completed,67,66,89
female,group A,some high school,none,23,76,28
male,group A,some high school,none,38,88,86
female,group C,some college,completed,68,17,30
female,group D,master's degree,none,57,10,91
female,group B,some college,completed,98,65,67
male,group A,associate's degree,completed,31,38,18
male,group C,bachelor's degree,completed,25,59,32
female,group A,associate's degree,completed,26,12,81
female,group C,bachelor's degree,completed,60,64,94
male,group A,high school,none,32,67,58
female,group C,bachelor's degree,completed,87,56,40
male,group D,some college,completed,58,88,30
female,group B,some high school,completed,33,91,50
female,group D,associate's degree,completed,91,78,83
male,group B,some high school,none,94,49,10
female,group A,master's degree,completed,22,44,74
female,group A,high school,completed,70,19,94
female,group C,high school,none,32,50,73
male,group D,high school,none,33,23,32
male,group C,master's degree,completed,68,84,28
female,group C,master's degree,completed,27,32,20
female,group B,bachelor's degree,completed,69,32,75
female,group A,master's degree,completed,45,72,71
male,group D,some college,completed,56,38,29
male,group A,some high school,completed,75,42,10
male,group C,some high school,completed,26,83,45
female,group A,master's degree,none,11,47,27
male,group D,bachelor's degree,completed,94,58,64
male,group B,some college,completed,15,82,72
female,group D,high school,completed,50,65,54
male,group B,master's degree,completed,99,53,57
male,group C,high school,completed,60,91,23
female,group D,some high school,none,28,89,63
male,group B,some high school,completed,55,40,48
male,group C,some college,completed,10,29,12
female,group A,high school,completed,72,48,42
male,group B,some high school,none,27,49,45
male,group C,master's degree,completed,79,51,48
female,group A,some high school,none,69,83,40
male,group A,some college,none,13,49,46
male,group B,some high school,none,46,87,75
male,group C,master's degree,completed,63,95,97
male,group A,master's degree,none,32,84,55
male,group C,master's degree,completed,87,29,56
female,group A,high school,completed,11,70,26
female,group C,some college,completed,84,47,23
female,group C,master's degree,completed,39,43,17
male,group A,master's degree,none,51,26,69
female,group B,some high school,completed,40,61,25
female,group B,some college,completed,91,47,47
female,group B,high school,completed,38,83,97
male,group A,some college,completed,86,54,96
male,group D,associate's degree,none,75,73,52
male,group A,some high school,completed,49,77,63
male,group A,associate's degree,none,75,64,34
female,group B,associate's degree,none,70,18,31
male,group C,master's degree,completed,17,52,55
female,group C,master's degree,none,36,79,51
female,group C,master's degree,completed,99,59,23
female,group A,some college,completed,78,97,86
male,group A,some college,completed,93,19,73
female,group A,high school,none,54,71,80
male,group A,some college,none,44,10,20
male,group B,master's degree,none,27,10,43
male,group C,high school,completed,47,89,79
female,group A,some high school,completed,30,54,77
male,group A,some high school,completed,48,95,17
male,group D,some high school,completed,39,57,14
female,group B,high school,none,56,65,47
female,group B,master's degree,none,21,80,76
male,group A,master's degree,none,47,11,26
female,group B,bachelor's degree,none,97,18,91
female,group D,master's degree,none,22,22,52
female,group D,associate's degree,none,21,60,16
female,group D,bachelor's degree,completed,61,67,83
male,group C,bachelor's degree,completed,43,73,28
female,group D,bachelor's degree,completed,22,100,32
male,group B,associate's degree,completed,32,43,76
female,group D,bachelor's degree,none,95,26,85
female,group D,associate's degree,completed,50,83,66
female,group B,some high school,none,29,55,41
female,group D,some high school,none,37,24,34
male,group D,bachelor's degree,none,91,43,99
male,group D,high school,completed,79,47,17
male,group A,bachelor's degree,none,68,82,26
female,group C,bachelor's degree,none,10,35,97
female,group D,bachelor's degree,completed,26,29,74
male,group B,high school,none,42,11,89
female,group B,bachelor's degree,completed,73,94,10
female,group B,some college,none,44,67,100
male,group B,master's degree,completed,26,63,82
male,group A,some high school,none,10,83,20
male,group D,associate's degree,completed,85,15,100
male,group D,some college,none,38,54,71
male,group D,associate's degree,none,26,94,91
female,group C,some high school,none,99,93,53
female,group A,some college,completed,12,15,55
female,group D,associate's degree,completed,72,79,20
female,group A,bachelor's degree,completed,47,56,99
female,group D,high school,none,67,31,88
male,group D,some college,none,49,95,71
male,group D,high school,none,79,32,26
male,group A,master's degree,completed,63,54,30
male,group D,bachelor's degree,completed,73,47,73
male,group A,master's degree,none,84,96,24
female,group D,associate's degree,none,89,59,90
male,group B,master's degree,completed,63,32,68
male,group D,bachelor's degree,none,98,58,87
female,group C,master's degree,completed,47,82,84
male,group D,bachelor's degree,completed,91,78,50
female,group D,some college,none,30,94,43
female,group C,high school,none,28,31,81
male,group D,some high school,completed,76,69,78
male,group D,some college,completed,45,18,21
male,group D,master's degree,none,95,80,48
female,group D,associate's degree,completed,64,97,18
male,group D,associate's degree,completed,58,55,14
male,group D,associate's degree,none,89,19,18
female,group C,some high school,none,35,71,58
female,group A,high school,none,22,82,34
male,group C,some high school,completed,24,83,72
female,group C,master's degree,none,25,75,100
male,group C,bachelor's degree,completed,31,16,36
male,group D,associate's degree,completed,17,14,17
male,group D,master's degree,completed,92,77,74
male,group B,some high school,completed,65,31,85
female,group A,some college,none,77,90,56
female,group D,some high school,completed,61,66,52
male,group B,some high school,none,91,43,14
female,group C,master's degree,none,89,90,85
male,group C,some college,none,30,24,74
female,group B,master's degree,completed,62,30,56
female,group A,associate's degree,completed,87,20,84
male,group D,bachelor's degree,completed,55,77,15
female,group C,high school,completed,96,60,52
female,group D,associate's degree,completed,30,85,42
male,group C,some high school,none,62,18,96
male,group B,bachelor's degree,completed,79,56,42
female,group C,bachelor's degree,none,43,35,78
male,group D,master's degree,completed,16,72,59
male,group C,master's degree,completed,29,87,31
female,group B,some high school,none,61,43,100
female,group A,some high school,none,95,68,50
female,group A,associate's degree,completed,34,35,12
male,group A,associate's degree,none,75,34,87
male,group C,some college,none,98,24,63
male,group B,master's degree,none,84,48,46
female,group C,high school,none,50,57,38
female,group B,some college,completed,21,12,35
female,group A,associate's degree,none,27,46,43
female,group A,associate's degree,completed,78,36,12
male,group D,associate's degree,none,21,53,14
female,group C,associate's degree,completed,37,60,49
female,group B,some college,completed,10,56,83
female,group D,associate's degree,completed,58,61,14
female,group C,associate's degree,none,70,89,10
male,group A,master's degree,completed,57,85,45
male,group A,some college,none,77,89,71
male,group C,associate's degree,none,58,81,88
male,group A,bachelor's degree,none,28,95,90
female,group B,high school,none,43,82,15
female,group B,associate's degree,none,98,86,48
male,group A,high school,completed,77,31,26
female,group B,some high school,none,58,31,59
male,group C,master's degree,none,44,79,83
female,group B,master's degree,completed,76,78,23
male,group C,master's degree,completed,90,70,44
female,group A,some high school,none,78,32,49
female,group D,bachelor's degree,completed,65,29,22
female,group A,some college,completed,29,46,66
female,group A,bachelor's degree,none,40,38,97
female,group A,master's degree,completed,68,44,98
male,group A,high school,none,53,45,54
male,group A,some college,completed,68,68,56
male,group B,some college,none,44,26,27
female,group B,bachelor's degree,none,22,57,92
female,group D,some college,completed,45,57,81
female,group D,some high school,none,56,88,18
male,group C,some college,completed,61,24,72
female,group D,some high school,none,30,11,86
male,group B,bachelor's degree,completed,47,99,24
female,group B,associate's degree,none,27,88,35
male,group A,associate's degree,none,85,77,79
female,group A,some college,completed,67,14,66
male,group C,associate's degree,completed,15,100,42
male,group A,some college,completed,82,55,64
male,group D,high school,none,16,59,13
female,group A,bachelor's degree,completed,48,78,66
female,group B,high school,none,81,79,61
male,group D,master's degree,none,19,89,19
female,group D,some college,completed,74,22,64
male,group A,bachelor's degree,none,65,15,85
female,group B,some high school,none,97,26,21
female,group B,some high school,completed,84,14,85
male,group B,master's degree,none,34,96,19
male,group D,bachelor's degree,none,18,30,69
female,group C,some high school,none,25,53,69
female,group C,some college,none,57,36,22
male,group A,associate's degree,completed,68,14,93
female,group A,master's degree,completed,75,75,76
female,group A,associate's degree,completed,87,14,23
female,group D,master's degree,none,36,35,28
female,group B,bachelor's degree,completed,16,60,60
male,group D,some high school,completed,18,26,31
male,group D,high school,completed,62,43,68
male,group B,associate's degree,completed,71,89,62
male,group C,associate's degree,none,72,82,88
male,group D,high school,completed,54,43,54
female,group B,high school,none,85,71,63
female,group A,master's degree,none,100,14,49
male,group C,master's degree,none,39,22,35
female,group C,some high school,none,95,10,75
female,group A,bachelor's degree,none,57,87,98
female,group B,master's degree,none,31,85,16
female,group D,high school,none,28,82,28
female,group D,master's degree,none,40,68,19
male,group B,master's degree,completed,75,21,36
female,group B,bachelor's degree,completed,97,57,89
female,group A,associate's degree,completed,37,76,57
male,group A,some high school,none,46,76,71
female,group D,associate's degree,completed,67,60,61
female,group C,master's degree,completed,38,13,75
female,group C,master's degree,none,13,92,98
male,group B,master's degree,completed,16,42,38
female,group C,associate's degree,completed,28,34,46
female,group A,associate's degree,completed,58,16,58
male,group A,some college,completed,70,72,23
female,group B,some college,completed,89,31,73
female,group B,associate's degree,none,84,86,90
male,group B,bachelor's degree,completed,20,100,20
male,group C,some college,none,50,68,67
male,group D,bachelor's degree,none,67,27,89
female,group D,some college,completed,93,45,29
male,group A,some high school,none,83,98,73
female,group D,master's degree,none,89,53,82
male,group D,some high school,completed,26,80,47
female,group C,some high school,completed,60,86,56
female,group A,some high school,completed,34,72,64
female,group A,master's degree,completed,69,62,56
male,group C,associate's degree,completed,51,23,69
male,group D,some college,none,32,97,12
female,group B,some college,none,87,91,83
male,group D,master's degree,none,47,78,91
male,group B,associate's degree,none,38,35,27
male,group A,bachelor's degree,completed,12,19,10
female,group C,master's degree,completed,16,84,61
female,group B,master's degree,none,76,97,75
male,group D,bachelor's degree,completed,51,72,49
male,group B,high school,none,95,24,19
female,group B,some college,none,84,80,20
